epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,63.2528,0.00143,1,1,1e-05,0.000333025,0.000333025,0.0670305
2,131.55,0,1,1,0,0.000666196,0.000666196,0.0340303
3,188.24,0,1,1,0,0.000998715,0.000998715,0.00102952
4,247.847,0,1,1,0,0.000997803,0.000997803,0.000997803
5,320.931,0,1,1,0,0.000996097,0.000996097,0.000996097
6,378.162,0,1,1,0,0.000993906,0.000993906,0.000993906
7,440.444,0,1,1,0,0.000991232,0.000991232,0.000991232
8,501.15,0,1,1,0,0.000988079,0.000988079,0.000988079
9,559.824,0,1,1,0,0.000984449,0.000984449,0.000984449
10,624.394,0,1,1,0,0.000980345,0.000980345,0.000980345
11,680.265,0,1,1,0,0.000975773,0.000975773,0.000975773
12,747.18,0,1,1,0,0.000970736,0.000970736,0.000970736
13,802.179,0,1,1,0,0.000965239,0.000965239,0.000965239
14,865.217,0,1,1,0,0.000959289,0.000959289,0.000959289
15,926.389,0,1,1,0,0.000952889,0.000952889,0.000952889
16,985.91,0,1,1,0,0.000946048,0.000946048,0.000946048
17,1050.94,0,1,1,0,0.000938772,0.000938772,0.000938772
18,1106.02,0,1,1,0,0.000931067,0.000931067,0.000931067
19,1170.39,0,1,1,0,0.000922942,0.000922942,0.000922942
20,1226.76,0,1,1,0,0.000914405,0.000914405,0.000914405
21,1288.89,0,1,1,0,0.000905463,0.000905463,0.000905463
