epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,64.895,1.2342,0.00486,0.03647,12.9066,0.000333025,0.000333025,0.0670305
2,135.791,0.64063,0.00162,0.13371,13.5465,0.000666196,0.000666196,0.0340303
3,205.796,0.47303,0.00324,0.0705,16.5391,0.000998715,0.000998715,0.00102952
4,271.267,0.39466,0.00405,0.03485,18.2586,0.000997803,0.000997803,0.000997803
5,341.439,0.30609,0.00486,0.09157,18.2344,0.000996097,0.000996097,0.000996097
6,410.801,0.27804,0.00486,0.05186,19.2406,0.000993906,0.000993906,0.000993906
7,483.537,0.24128,0.00162,0.05186,21.3227,0.000991232,0.000991232,0.000991232
8,559.035,0.21876,0.00486,0.05186,22.2422,0.000988079,0.000988079,0.000988079
9,631.418,0.20444,0.00486,0.02188,23.7688,0.000984449,0.000984449,0.000984449
10,699.04,0.19548,0.00648,0.09643,20.5352,0.000980345,0.000980345,0.000980345
11,767.427,0.17903,0.00567,0.03566,23.0297,0.000975773,0.000975773,0.000975773
12,840.147,0.16984,0.00648,0.0389,23.9508,0.000970736,0.000970736,0.000970736
13,921.034,0.15369,0.00486,0.03566,24.2695,0.000965239,0.000965239,0.000965239
14,1003.31,0.15123,0.00567,0.04295,24.0234,0.000959289,0.000959289,0.000959289
15,1087.33,0.14123,0.00486,0.02269,25.5617,0.000952889,0.000952889,0.000952889
16,1157.53,0.134,0.00486,0.03079,25.1352,0.000946048,0.000946048,0.000946048
17,1221.47,0.12643,0.00486,0.03241,25.8828,0.000938772,0.000938772,0.000938772
18,1289.13,0.11561,0.00486,0.03647,26.2133,0.000931067,0.000931067,0.000931067
19,1354.39,0.11816,0.00486,0.04052,25.5813,0.000922942,0.000922942,0.000922942
20,1415.67,0.1153,0.00486,0.04052,26.3172,0.000914405,0.000914405,0.000914405
21,1482.13,0.11205,0.00486,0.04457,26.2242,0.000905463,0.000905463,0.000905463
22,1551.14,0.09978,0.00486,0.04538,26.1281,0.000896127,0.000896127,0.000896127
