epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.37,2.22852,5.22119,0.00322,0.44829,0.01621,0.00941,0.00607,2.06247,3.56827,0.00258,0.000332898,0.000332898,0.0670431
2,438.684,2.06455,3.47751,0.00281,0.55206,0.02944,0.03862,0.02766,1.95863,3.0193,0.00231,0.000666191,0.000666191,0.034043
3,656.905,2.031,3.15919,0.00278,0.5827,0.06467,0.06534,0.04729,1.94601,2.8772,0.00228,0.000999321,0.000999321,0.00104284
4,877.533,1.9787,2.93089,0.00261,0.55855,0.08244,0.08986,0.06323,1.88155,2.74545,0.00215,0.00099945,0.00099945,0.00099945
5,1085.79,1.96436,2.79326,0.00261,0.64112,0.09246,0.10278,0.07053,1.97796,2.62114,0.00236,0.000999023,0.000999023,0.000999023
6,1299.59,1.94779,2.69002,0.00258,0.58837,0.09438,0.10529,0.07777,1.83424,2.50853,0.00216,0.000998474,0.000998474,0.000998474
7,1508.38,1.92704,2.59985,0.00249,0.5537,0.1054,0.12541,0.08765,1.98626,2.56088,0.00237,0.000997803,0.000997803,0.000997803
8,1718.91,1.9372,2.5369,0.00252,0.7425,0.07653,0.1189,0.08691,1.8918,2.51448,0.00222,0.000997011,0.000997011,0.000997011
9,1920.17,1.88927,2.44538,0.00244,0.51791,0.10949,0.1342,0.09086,1.95982,2.49399,0.0023,0.000996097,0.000996097,0.000996097
10,2126.69,1.88327,2.39145,0.00246,0.68646,0.10342,0.14701,0.10303,1.91554,2.47962,0.00215,0.000995062,0.000995062,0.000995062
11,2335.19,1.8899,2.346,0.00244,0.57374,0.15185,0.17621,0.1198,1.93762,2.44331,0.00228,0.000993906,0.000993906,0.000993906
12,2542.42,1.87387,2.25196,0.00241,0.48186,0.13263,0.15717,0.11411,1.86853,2.44231,0.00217,0.000992629,0.000992629,0.000992629
13,2746.14,1.88055,2.20915,0.00238,0.51852,0.14472,0.17069,0.12183,1.89321,2.45951,0.00215,0.000991232,0.000991232,0.000991232
14,2944.49,1.85092,2.16777,0.00233,0.43929,0.13633,0.16175,0.11752,1.86106,2.4816,0.00211,0.000989715,0.000989715,0.000989715
15,3151.8,1.83007,2.09473,0.00232,0.51346,0.12795,0.16648,0.12354,1.86017,2.40833,0.00217,0.000988079,0.000988079,0.000988079
16,3359.18,1.83024,2.0581,0.00229,0.44618,0.14828,0.16294,0.12199,1.85325,2.4269,0.00208,0.000986323,0.000986323,0.000986323
17,3565.77,1.81316,2.02828,0.00227,0.36763,0.15875,0.16729,0.11983,1.82293,2.43537,0.00205,0.000984449,0.000984449,0.000984449
18,3770.6,1.78939,1.97893,0.00223,0.39858,0.15463,0.16936,0.11468,1.89463,2.382,0.00219,0.000982456,0.000982456,0.000982456
19,3976.04,1.80557,1.95325,0.00222,0.48388,0.16118,0.16975,0.12132,1.87253,2.43905,0.00214,0.000980345,0.000980345,0.000980345
20,4181.64,1.80567,1.9079,0.00222,0.59025,0.12304,0.161,0.11419,1.84774,2.40525,0.00215,0.000978118,0.000978118,0.000978118
