epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.491,2.672,3.11286,0.00552,0.509,0.18596,0.17251,0.05133,2.87452,2.57466,0.00462,0.000333116,0.000333116,0.0670215
2,341.13,2.50199,2.63683,0.00488,0.46032,0.26464,0.27181,0.12743,2.6035,2.23959,0.00384,0.000666408,0.000666408,0.0340215
3,529.84,2.45101,2.49013,0.0047,0.50006,0.28851,0.29155,0.15685,2.40769,2.151,0.00337,0.000999538,0.000999538,0.0010213
4,719.623,2.40862,2.41429,0.00454,0.46097,0.28933,0.29073,0.14936,2.41991,2.18843,0.00338,0.00099945,0.00099945,0.00099945
5,900.384,2.37079,2.34195,0.0044,0.45558,0.29912,0.2936,0.14184,2.46611,2.10211,0.00347,0.000999023,0.000999023,0.000999023
6,1051.94,2.36141,2.28886,0.00433,0.56181,0.29355,0.30536,0.1615,2.34799,2.09558,0.00307,0.000998474,0.000998474,0.000998474
7,1199.24,2.34461,2.2545,0.00425,0.44009,0.28716,0.30931,0.14521,2.43567,2.07482,0.00328,0.000997803,0.000997803,0.000997803
8,1347.94,2.32851,2.18816,0.00422,0.43507,0.33188,0.30805,0.16192,2.38956,2.00136,0.00321,0.000997011,0.000997011,0.000997011
9,1496.54,2.31753,2.15817,0.00419,0.54241,0.2783,0.30811,0.17707,2.32312,2.00903,0.00306,0.000996097,0.000996097,0.000996097
10,1645.43,2.29887,2.11332,0.00405,0.50872,0.33048,0.34075,0.18601,2.27833,2.04792,0.00297,0.000995062,0.000995062,0.000995062
11,1794.2,2.2819,2.09772,0.00405,0.51608,0.32236,0.32997,0.18636,2.25989,1.98911,0.00289,0.000993906,0.000993906,0.000993906
12,1953.36,2.28963,2.0941,0.00404,0.57395,0.32359,0.33505,0.18434,2.34536,2.01608,0.00308,0.000992629,0.000992629,0.000992629
13,2113.96,2.27661,2.06215,0.004,0.49717,0.32865,0.33246,0.17244,2.35733,2.04516,0.00313,0.000991232,0.000991232,0.000991232
14,2262.49,2.2635,2.02556,0.00397,0.56125,0.30977,0.33485,0.1751,2.36782,2.07494,0.00313,0.000989715,0.000989715,0.000989715
15,2411.94,2.24817,1.97989,0.00388,0.54978,0.33032,0.33644,0.19387,2.26304,1.95987,0.00286,0.000988079,0.000988079,0.000988079
16,2564.28,2.23811,1.97873,0.00388,0.49045,0.32797,0.32523,0.18531,2.27528,2.03381,0.00304,0.000986323,0.000986323,0.000986323
17,2711.78,2.21906,1.94029,0.00381,0.49874,0.32336,0.32287,0.18266,2.2658,1.97695,0.00293,0.000984449,0.000984449,0.000984449
18,2863.88,2.21169,1.92957,0.0038,0.5468,0.29452,0.32413,0.18375,2.25032,1.95483,0.0029,0.000982456,0.000982456,0.000982456
19,3014.65,2.21713,1.89328,0.00383,0.52756,0.29567,0.3233,0.18342,2.28705,1.98715,0.00298,0.000980345,0.000980345,0.000980345
20,3167.36,2.21395,1.88687,0.00381,0.60409,0.3,0.3365,0.1858,2.29881,2.01432,0.00301,0.000978118,0.000978118,0.000978118
21,3321.11,2.18936,1.86305,0.00374,0.5408,0.33055,0.35175,0.20022,2.22737,1.93598,0.00285,0.000975773,0.000975773,0.000975773
22,3479.41,2.18809,1.83871,0.00374,0.5636,0.34665,0.35947,0.21062,2.23768,1.96958,0.00277,0.000973312,0.000973312,0.000973312
23,3632.52,2.16173,1.79993,0.00364,0.57472,0.33506,0.35493,0.20777,2.23544,1.99516,0.00281,0.000970736,0.000970736,0.000970736
24,3782.6,2.16185,1.7875,0.00367,0.49286,0.36841,0.35856,0.2115,2.24118,1.91779,0.00275,0.000968045,0.000968045,0.000968045
25,3937.7,2.17965,1.7868,0.00365,0.44854,0.36504,0.36238,0.21225,2.20026,1.9577,0.00272,0.000965239,0.000965239,0.000965239
26,4094.11,2.15096,1.77537,0.00357,0.63669,0.33078,0.37501,0.21943,2.21134,1.95936,0.00277,0.00096232,0.00096232,0.00096232
27,4245.88,2.14966,1.73176,0.00361,0.58455,0.35186,0.35491,0.21079,2.23263,1.98393,0.00277,0.000959289,0.000959289,0.000959289
28,4393.49,2.14644,1.72667,0.00361,0.55553,0.32483,0.34489,0.2022,2.19539,1.98406,0.00271,0.000956145,0.000956145,0.000956145
29,4539.07,2.13818,1.70701,0.00359,0.54204,0.331,0.34898,0.21279,2.18758,1.95873,0.00272,0.000952889,0.000952889,0.000952889
30,4689.77,2.1444,1.69543,0.00355,0.55187,0.34578,0.3578,0.21341,2.20515,2.00548,0.00272,0.000949524,0.000949524,0.000949524
31,4843.9,2.11525,1.66984,0.00347,0.62134,0.32275,0.34444,0.21079,2.16943,2.082,0.00266,0.000946048,0.000946048,0.000946048
32,4997,2.11131,1.65057,0.00347,0.50747,0.34408,0.35986,0.21842,2.19007,2.00462,0.00269,0.000942464,0.000942464,0.000942464
33,5149.12,2.12469,1.65769,0.00352,0.59235,0.30488,0.35277,0.21123,2.17346,2.05309,0.00271,0.000938772,0.000938772,0.000938772
34,5304.22,2.10448,1.63056,0.00345,0.61741,0.32623,0.34345,0.21381,2.17516,2.09198,0.00269,0.000934973,0.000934973,0.000934973
35,5471.38,2.11771,1.60241,0.00346,0.54611,0.33453,0.34894,0.21323,2.19228,2.01054,0.00268,0.000931067,0.000931067,0.000931067
